No.,Opened,Closed,Premium,Profit/loss,Underlying Price at Open,Underlying Price at Close,Close reason
42,4/29/2025,6/20/2025,580,578.86,210.99,201,expired
43,4/30/2025,6/20/2025,610,608.86,211.15,201,expired
44,5/1/2025,6/13/2025,647,-214.14,213.45,196.45,exercised
45,5/2/2025,6/13/2025,467,465.86,204.19,196.45,expired
46,5/5/2025,6/20/2025,525,523.86,199.13,201,expired
47,5/6/2025,6/20/2025,490,488.86,200.13,201,expired
48,5/7/2025,6/20/2025,462,460.86,196.56,201,expired
49,5/8/2025,6/20/2025,505,503.86,198.41,201,expired
50,5/9/2025,6/20/2025,477,475.86,198.55,201,expired
51,5/12/2025,6/27/2025,385,383.86,210.12,201.08,expired
52,5/13/2025,6/27/2025,305,303.86,212.82,201.08,expired
53,5/14/2025,6/27/2025,365,363.86,211.44,201.08,expired
54,5/15/2025,6/27/2025,360,358.86,210.43,201.08,expired
55,5/16/2025,6/27/2025,320,318.86,211.26,201.08,expired
56,5/19/2025,6/27/2025,395,393.86,208.28,201.08,expired
57,5/20/2025,6/27/2025,332,330.86,206.12,201.08,expired
58,5/21/2025,6/27/2025,362,360.86,201.82,201.08,expired
59,5/22/2025,7/3/2025,417,415.86,201.58,213.55,expired
60,5/23/2025,7/3/2025,450,448.86,195.56,213.55,expired
61,5/27/2025,7/18/2025,480,478.86,200.27,211.18,expired
62,5/28/2025,7/18/2025,430,428.86,201.21,211.18,expired
63,5/29/2025,7/11/2025,430,428.86,199.52,211.16,expired
64,5/30/2025,7/11/2025,400,398.86,199.87,211.16,expired
65,6/2/2025,7/18/2025,377,375.86,201.56,211.18,expired
66,6/3/2025,7/18/2025,440,438.86,203.14,211.18,expired
67,6/4/2025,7/18/2025,427,425.86,203.19,211.18,expired
68,6/5/2025,7/18/2025,360,358.86,200.87,211.18,expired
69,6/6/2025,7/18/2025,360,358.86,205.05,211.18,expired
70,6/9/2025,7/25/2025,370,368.86,201.01,213.88,expired
71,6/10/2025,7/25/2025,425,423.86,202.75,213.88,expired
72,6/11/2025,7/25/2025,405,403.86,198.96,213.88,expired
73,6/12/2025,7/25/2025,392,390.86,198.59,213.88,expired
74,6/13/2025,7/25/2025,345,343.86,195.89,213.88,expired
75,6/16/2025,8/1/2025,472,470.86,198.34,202.38,expired
76,6/17/2025,8/1/2025,420,418.86,195.62,202.38,expired
77,6/18/2025,8/1/2025,375,373.86,196.16,202.38,expired
78,6/20/2025,8/1/2025,400,398.86,200,202.38,expired
79,6/23/2025,8/1/2025,325,323.86,201.31,202.38,expired
80,6/24/2025,8/15/2025,417,415.86,200.85,231.59,expired
81,6/25/2025,8/15/2025,402,400.86,201.11,231.59,expired
82,6/26/2025,8/8/2025,352,350.86,201.13,229.35,expired
83,6/27/2025,8/8/2025,357,355.86,201,229.35,expired
84,6/30/2025,8/15/2025,402,400.86,206.49,231.59,expired
85,7/1/2025,8/15/2025,352,350.86,207.72,231.59,expired
86,7/2/2025,8/15/2025,357,355.86,212.06,231.59,expired
87,7/3/2025,8/15/2025,422,420.86,213.82,231.59,expired
88,7/7/2025,8/22/2025,465,463.86,209.39,227.76,expired
89,7/8/2025,8/22/2025,437,435.86,209.52,227.76,expired
90,7/9/2025,8/22/2025,405,403.86,210.33,227.76,expired
91,7/10/2025,8/22/2025,315,313.86,212.87,227.76,expired
92,7/11/2025,8/22/2025,355,353.86,211.13,227.76,expired
93,7/14/2025,8/29/2025,455,453.86,208.57,232.14,expired
94,7/15/2025,8/29/2025,425,423.86,209.67,232.14,expired
95,7/16/2025,8/29/2025,385,383.86,210.53,232.14,expired
96,7/17/2025,8/29/2025,385,383.86,210.63,232.14,expired
97,7/18/2025,8/29/2025,357,355.86,211,232.14,expired
98,7/21/2025,8/29/2025,307,305.86,212.31,232.14,expired
99,7/22/2025,8/29/2025,400,398.86,214.15,232.14,expired
100,7/23/2025,8/29/2025,400,398.86,214.01,232.14,expired
101,7/24/2025,9/5/2025,387,385.86,214.67,239.69,expired
102,7/25/2025,9/5/2025,402,400.86,213.69,239.69,expired
103,7/28/2025,9/5/2025,392,390.86,213.77,239.69,expired
104,7/29/2025,9/19/2025,420,418.86,211.75,245.5,expired
105,7/30/2025,9/19/2025,515,513.86,208.38,245.5,expired
106,7/31/2025,9/12/2025,472,470.86,208.54,234.07,expired
107,8/1/2025,9/12/2025,298,296.86,202.59,234.07,expired
108,8/4/2025,9/19/2025,317,315.86,202.49,245.5,expired
109,8/5/2025,9/19/2025,425,423.86,202.92,245.5,expired
110,8/6/2025,9/19/2025,402,400.86,213.97,245.5,expired
111,8/7/2025,9/19/2025,360,358.86,220.1,245.5,expired
112,8/8/2025,9/19/2025,390,388.86,229.26,245.5,expired
113,8/11/2025,9/26/2025,327,325.86,227.16,255.46,expired
114,8/12/2025,9/26/2025,382,380.86,229.34,255.46,expired
115,8/13/2025,9/26/2025,269,267.86,234.05,255.46,expired
116,8/14/2025,9/26/2025,277,275.86,232.96,255.46,expired
117,8/15/2025,9/26/2025,291,289.86,231.68,255.46,expired
118,8/18/2025,9/26/2025,286,284.86,231.39,255.46,expired
119,8/19/2025,9/26/2025,305,303.86,230.3,255.46,expired
120,8/20/2025,9/26/2025,268,266.86,226.7,255.46,expired
121,8/21/2025,10/3/2025,365,363.86,224.74,258.02,expired
122,8/22/2025,10/3/2025,255,253.86,227.94,258.02,expired
123,8/25/2025,10/3/2025,264,262.86,227.69,258.02,expired
124,8/26/2025,10/17/2025,320,318.86,228.4,252.29,expired
125,8/27/2025,10/17/2025,382,380.86,230.59,252.29,expired
126,8/28/2025,10/10/2025,274,272.86,232.95,245.27,expired
127,8/29/2025,10/10/2025,276,274.86,232.68,245.27,expired
128,9/2/2025,10/17/2025,400,398.86,229.05,252.29,expired
129,9/3/2025,10/17/2025,286,284.86,237.77,252.29,expired
130,9/4/2025,10/17/2025,252,250.86,238.84,252.29,expired
131,9/5/2025,10/17/2025,312,310.86,239.91,252.29,expired
132,9/8/2025,10/24/2025,280,278.86,237.72,262.82,expired
133,9/9/2025,10/24/2025,261,259.86,233.6,262.82,expired
134,9/10/2025,10/24/2025,315,313.86,226.5,262.82,expired
135,9/11/2025,10/24/2025,301,299.86,230.2,262.82,expired
136,9/12/2025,10/24/2025,233,231.86,233.81,262.82,expired
137,9/15/2025,10/31/2025,410,408.86,235.73,270.37,expired
138,9/16/2025,10/31/2025,330,328.86,238.94,270.37,expired
139,9/17/2025,10/31/2025,315,313.86,238.81,270.37,expired
140,9/18/2025,10/31/2025,335,333.86,237.76,270.37,expired
141,9/19/2025,10/31/2025,412,410.86,245.03,270.37,expired
142,9/22/2025,10/31/2025,425,423.86,255.93,270.37,expired
143,9/23/2025,10/31/2025,340,338.86,254.14,270.37,expired
144,9/24/2025,10/31/2025,375,373.86,251.56,270.37,expired
145,9/25/2025,11/7/2025,497,495.86,256.12,268.47,expired
146,9/26/2025,11/7/2025,335,333.86,255.13,268.47,expired
147,9/29/2025,11/7/2025,325,323.86,254.2,268.47,expired
148,9/30/2025,11/21/2025,410,408.86,254.11,271.49,expired
149,10/1/2025,11/21/2025,517,515.86,255.41,271.49,expired
150,10/2/2025,11/14/2025,410,408.86,257.46,272.41,expired
151,10/3/2025,11/14/2025,382,380.86,258.1,272.41,expired
152,10/6/2025,11/21/2025,460,458.86,257.01,271.49,expired
153,10/7/2025,11/21/2025,445,443.86,256.54,271.49,expired
154,10/8/2025,11/21/2025,395,393.86,258.16,271.49,expired
155,10/9/2025,11/21/2025,380,378.86,253.63,271.49,expired
156,10/10/2025,11/21/2025,497,495.86,246.69,271.49,expired
157,10/13/2025,11/28/2025,420,418.86,248.33,278.85,expired
158,10/14/2025,11/28/2025,457,455.86,247.02,278.85,expired
159,10/15/2025,11/28/2025,402,400.86,249.38,278.85,expired
160,10/16/2025,11/28/2025,495,493.86,247.03,278.85,expired
161,10/17/2025,11/28/2025,427,425.86,253.13,278.85,expired
162,10/20/2025,11/28/2025,410,408.86,263.6,278.85,expired
163,10/21/2025,11/28/2025,395,393.86,263.04,278.85,expired
164,10/22/2025,11/28/2025,410,408.86,257.56,278.85,expired
165,10/23/2025,12/5/2025,292,290.86,259.95,278.78,expired
166,10/24/2025,12/5/2025,377,375.86,263.29,278.78,expired
167,10/27/2025,12/5/2025,400,398.86,267.73,278.78,expired
168,10/28/2025,12/19/2025,440,438.86,268.9,273.67,expired
169,10/29/2025,12/19/2025,435,433.86,269.63,273.67,expired
170,10/30/2025,12/12/2025,460,458.86,271.4,278.28,expired
171,10/31/2025,12/12/2025,370,368.86,272.08,278.28,expired
172,11/3/2025,12/19/2025,375,373.86,268.04,273.67,expired
173,11/4/2025,12/19/2025,330,328.86,270.26,273.67,expired
174,11/5/2025,12/19/2025,330,328.86,269.28,273.67,expired
175,11/6/2025,12/19/2025,317,315.86,271.02,273.67,expired
176,11/7/2025,12/19/2025,360,358.86,268.46,273.67,expired
177,11/10/2025,12/26/2025,340,338.86,268.8,273.4,expired
178,11/11/2025,12/26/2025,294,292.86,275.63,273.4,expired
179,11/12/2025,12/26/2025,327,325.86,273.9,273.4,expired
180,11/13/2025,12/26/2025,380,378.86,273.35,273.4,expired
181,11/14/2025,12/26/2025,357,355.86,272.95,273.4,expired
182,11/17/2025,1/2/2026,435,433.86,266.7,271.01,expired
183,11/18/2025,1/2/2026,412,410.86,267.92,271.01,expired
184,11/19/2025,1/2/2026,362,360.86,269.51,271.01,expired
185,11/20/2025,1/2/2026,457,455.86,266.75,271.01,expired
186,11/21/2025,1/2/2026,425,423.86,271.58,271.01,expired
187,11/24/2025,1/2/2026,360,358.86,276.85,271.01,expired
188,11/25/2025,1/16/2026,437,-516.14,277.36,255.53,exercised
189,11/26/2025,1/9/2026,295,-274.14,278.21,259.37,exercised
190,11/28/2025,1/9/2026,323,-246.14,277.16,259.37,exercised
191,12/1/2025,1/16/2026,370,-1083.14,282.42,255.53,exercised
192,12/2/2025,1/16/2026,282,-1171.14,286.44,255.53,exercised
193,12/3/2025,1/16/2026,305,-1148.14,284.69,255.53,exercised
194,12/4/2025,1/16/2026,275,-678.14,280.02,255.53,exercised
195,12/5/2025,1/16/2026,264,-689.14,278.94,255.53,exercised
196,12/8/2025,1/23/2026,332,-1370.14,277.31,248.04,exercised
197,12/9/2025,1/23/2026,305,-1397.14,277.88,248.04,exercised
198,12/10/2025,1/23/2026,261,-1441.14,279.13,248.04,exercised
199,12/11/2025,1/23/2026,270,-1432.14,277.89,248.04,exercised
200,12/12/2025,1/23/2026,280,-1422.14,277.84,248.04,exercised
201,12/15/2025,1/30/2026,372,313.86,273.85,259.48,exercised
202,12/16/2025,1/30/2026,327,268.86,275.09,259.48,exercised
203,12/17/2025,1/30/2026,365,306.86,273.31,259.48,exercised
204,12/18/2025,1/30/2026,387,328.86,272.56,259.48,exercised
205,12/19/2025,1/30/2026,303,301.86,270.75,259.48,expired
206,12/22/2025,1/30/2026,265,263.86,270.69,259.48,expired
207,12/23/2025,1/30/2026,315,256.86,271.99,259.48,exercised
208,12/24/2025,2/6/2026,285,283.86,274.87,278.12,expired
209,12/26/2025,2/6/2026,311,309.86,273.68,278.12,expired
210,12/29/2025,2/6/2026,312,310.86,273.66,278.12,expired
211,12/30/2025,2/20/2026,405,403.86,273.06,264.58,expired
212,12/31/2025,2/13/2026,370,-58.14,272.72,255.78,exercised
213,1/2/2026,2/13/2026,304,302.86,270.66,255.78,expired
214,1/5/2026,2/20/2026,410,408.86,267.38,264.58,expired
215,1/6/2026,2/20/2026,395,393.86,262.91,264.58,expired
216,1/7/2026,2/20/2026,465,463.86,260.64,264.58,expired
217,1/8/2026,2/20/2026,405,403.86,258.46,264.58,expired
218,1/9/2026,2/20/2026,332,330.86,259.87,264.58,expired
219,1/12/2026,2/27/2026,475,473.86,260.76,264.18,expired
220,1/13/2026,2/27/2026,385,383.86,259.45,264.18,expired
