No.,Opened,Closed,Premium,Profit/loss,Underlying Price at Open,Underlying Price at Close,Close reason
193,2025-12-03,2026-01-16,305,-1148.14,284.69,255.53,exercised
194,2025-12-04,2026-01-16,275,-678.14,280.02,255.53,exercised
195,2025-12-05,2026-01-16,264,-689.14,278.94,255.53,exercised
196,2025-12-08,2026-01-23,332,-1370.14,277.31,248.04,exercised
197,2025-12-09,2026-01-23,305,-1397.14,277.88,248.04,exercised
198,2025-12-10,2026-01-23,261,-1441.14,279.13,248.04,exercised
199,2025-12-11,2026-01-23,270,-1432.14,277.89,248.04,exercised
200,2025-12-12,2026-01-23,280,-1422.14,277.84,248.04,exercised
201,2025-12-15,2026-01-30,372,313.86,273.85,259.48,exercised
202,2025-12-16,2026-01-30,327,268.86,275.09,259.48,exercised
203,2025-12-17,2026-01-30,365,306.86,273.31,259.48,exercised
204,2025-12-18,2026-01-30,387,328.86,272.56,259.48,exercised
205,2025-12-19,2026-01-30,303,301.86,270.75,259.48,expired
206,2025-12-22,2026-01-30,265,263.86,270.69,259.48,expired
207,2025-12-23,2026-01-30,315,256.86,271.99,259.48,exercised
208,2025-12-24,2026-02-06,285,283.86,274.87,278.12,expired
209,2025-12-26,2026-02-06,311,309.86,273.68,278.12,expired
210,2025-12-29,2026-02-06,312,310.86,273.66,278.12,expired
211,2025-12-30,2026-02-20,405,403.86,273.06,264.58,expired
212,2025-12-31,2026-02-13,370,-58.14,272.72,255.78,exercised
213,2026-01-02,2026-02-13,304,302.86,270.66,255.78,expired
214,2026-01-05,2026-02-20,410,408.86,267.38,264.58,expired
215,2026-01-06,2026-02-20,395,393.86,262.91,264.58,expired
216,2026-01-07,2026-02-20,465,463.86,260.64,264.58,expired
217,2026-01-08,2026-02-20,405,403.86,258.46,264.58,expired
218,2026-01-09,2026-02-20,332,330.86,259.87,264.58,expired
219,2026-01-12,2026-02-27,475,473.86,260.76,264.18,expired
220,2026-01-13,2026-02-27,385,383.86,259.45,264.18,expired
