Date,Time,Trade No.,Type,Instrument,Price,Quantity,Value,Effect
4/17/2025,11:00:00 PM GMT+3,3,sell to close,AAPL shares,196.98,100,19698,credit
4/17/2025,11:00:00 PM GMT+3,4,exercise,AAPL $225 put exp. 4/17/2025,0,1,0,debit
4/17/2025,11:00:00 PM GMT+3,4,assignment,AAPL shares,225,100,22500,debit
4/17/2025,11:00:00 PM GMT+3,4,sell to close,AAPL shares,196.98,100,19698,credit
4/17/2025,11:00:00 PM GMT+3,5,exercise,AAPL $225 put exp. 4/17/2025,0,1,0,debit
4/17/2025,11:00:00 PM GMT+3,5,assignment,AAPL shares,225,100,22500,debit
4/17/2025,11:00:00 PM GMT+3,5,sell to close,AAPL shares,196.98,100,19698,credit
4/21/2025,10:45:00 PM GMT+3,36,sell to open,AAPL $180 put exp. 5/30/2025,602,1,602,credit
4/22/2025,10:45:00 PM GMT+3,37,sell to open,AAPL $190 put exp. 5/30/2025,637,1,637,credit
4/23/2025,10:45:00 PM GMT+3,38,sell to open,AAPL $195 put exp. 5/30/2025,602,1,602,credit
4/24/2025,10:45:00 PM GMT+3,39,sell to open,AAPL $200 put exp. 6/6/2025,642,1,642,credit
4/25/2025,10:45:00 PM GMT+3,40,sell to open,AAPL $200 put exp. 6/6/2025,590,1,590,credit
4/25/2025,11:00:00 PM GMT+3,6,exercise,AAPL $225 put exp. 4/25/2025,0,1,0,debit
4/25/2025,11:00:00 PM GMT+3,6,assignment,AAPL shares,225,100,22500,debit
4/25/2025,11:00:00 PM GMT+3,6,sell to close,AAPL shares,209.28,100,20928,credit
4/25/2025,11:00:00 PM GMT+3,7,exercise,AAPL $215 put exp. 4/25/2025,0,1,0,debit
4/25/2025,11:00:00 PM GMT+3,7,assignment,AAPL shares,215,100,21500,debit
4/25/2025,11:00:00 PM GMT+3,7,sell to close,AAPL shares,209.28,100,20928,credit
4/25/2025,11:00:00 PM GMT+3,8,exercise,AAPL $210 put exp. 4/25/2025,0,1,0,debit
4/25/2025,11:00:00 PM GMT+3,8,assignment,AAPL shares,210,100,21000,debit
4/25/2025,11:00:00 PM GMT+3,8,sell to close,AAPL shares,209.28,100,20928,credit
4/25/2025,11:00:00 PM GMT+3,9,expiration,AAPL $205 put exp. 4/25/2025,0,1,0,debit
4/25/2025,11:00:00 PM GMT+3,10,expiration,AAPL $200 put exp. 4/25/2025,0,1,0,debit
4/25/2025,11:00:00 PM GMT+3,11,expiration,AAPL $200 put exp. 4/25/2025,0,1,0,debit
4/28/2025,10:45:00 PM GMT+3,41,sell to open,AAPL $200 put exp. 6/6/2025,500,1,500,credit
4/29/2025,10:45:00 PM GMT+3,42,sell to open,AAPL $200 put exp. 6/20/2025,580,1,580,credit
4/30/2025,10:45:00 PM GMT+3,43,sell to open,AAPL $200 put exp. 6/20/2025,610,1,610,credit
5/1/2025,10:45:00 PM GMT+3,44,sell to open,AAPL $205 put exp. 6/13/2025,647,1,647,credit
5/2/2025,10:45:00 PM GMT+3,45,sell to open,AAPL $195 put exp. 6/13/2025,467,1,467,credit
5/2/2025,11:00:00 PM GMT+3,12,expiration,AAPL $205 put exp. 5/2/2025,0,1,0,debit
5/2/2025,11:00:00 PM GMT+3,13,expiration,AAPL $200 put exp. 5/2/2025,0,1,0,debit
5/2/2025,11:00:00 PM GMT+3,14,expiration,AAPL $205 put exp. 5/2/2025,0,1,0,debit
5/2/2025,11:00:00 PM GMT+3,15,expiration,AAPL $205 put exp. 5/2/2025,0,1,0,debit
5/2/2025,11:00:00 PM GMT+3,16,expiration,AAPL $205 put exp. 5/2/2025,0,1,0,debit
5/2/2025,11:00:00 PM GMT+3,17,exercise,AAPL $210 put exp. 5/2/2025,0,1,0,debit
5/2/2025,11:00:00 PM GMT+3,17,assignment,AAPL shares,210,100,21000,debit
5/2/2025,11:00:00 PM GMT+3,17,sell to close,AAPL shares,205.35,100,20535,credit
5/5/2025,10:45:00 PM GMT+3,46,sell to open,AAPL $190 put exp. 6/20/2025,525,1,525,credit
5/6/2025,10:45:00 PM GMT+3,47,sell to open,AAPL $190 put exp. 6/20/2025,490,1,490,credit
5/7/2025,10:45:00 PM GMT+3,48,sell to open,AAPL $185 put exp. 6/20/2025,462,1,462,credit
5/8/2025,10:45:00 PM GMT+3,49,sell to open,AAPL $190 put exp. 6/20/2025,505,1,505,credit
5/9/2025,10:45:00 PM GMT+3,50,sell to open,AAPL $190 put exp. 6/20/2025,477,1,477,credit
5/9/2025,11:00:00 PM GMT+3,20,exercise,AAPL $215 put exp. 5/9/2025,0,1,0,debit
5/9/2025,11:00:00 PM GMT+3,20,assignment,AAPL shares,215,100,21500,debit
5/9/2025,11:00:00 PM GMT+3,20,sell to close,AAPL shares,198.53,100,19853,credit
5/9/2025,11:00:00 PM GMT+3,21,exercise,AAPL $205 put exp. 5/9/2025,0,1,0,debit
5/9/2025,11:00:00 PM GMT+3,21,assignment,AAPL shares,205,100,20500,debit
5/9/2025,11:00:00 PM GMT+3,21,sell to close,AAPL shares,198.53,100,19853,credit
5/12/2025,10:45:00 PM GMT+3,51,sell to open,AAPL $200 put exp. 6/27/2025,385,1,385,credit
5/13/2025,10:45:00 PM GMT+3,52,sell to open,AAPL $200 put exp. 6/27/2025,305,1,305,credit
5/14/2025,10:45:00 PM GMT+3,53,sell to open,AAPL $200 put exp. 6/27/2025,365,1,365,credit
5/15/2025,10:45:00 PM GMT+3,54,sell to open,AAPL $200 put exp. 6/27/2025,360,1,360,credit
5/16/2025,10:45:00 PM GMT+3,55,sell to open,AAPL $200 put exp. 6/27/2025,320,1,320,credit
5/16/2025,11:00:00 PM GMT+3,18,exercise,AAPL $215 put exp. 5/16/2025,0,1,0,debit
5/16/2025,11:00:00 PM GMT+3,18,assignment,AAPL shares,215,100,21500,debit
5/16/2025,11:00:00 PM GMT+3,18,sell to close,AAPL shares,211.26,100,21126,credit
5/16/2025,11:00:00 PM GMT+3,19,expiration,AAPL $210 put exp. 5/16/2025,0,1,0,debit
5/16/2025,11:00:00 PM GMT+3,22,expiration,AAPL $210 put exp. 5/16/2025,0,1,0,debit
5/16/2025,11:00:00 PM GMT+3,23,expiration,AAPL $210 put exp. 5/16/2025,0,1,0,debit
5/16/2025,11:00:00 PM GMT+3,24,exercise,AAPL $215 put exp. 5/16/2025,0,1,0,debit
5/16/2025,11:00:00 PM GMT+3,24,assignment,AAPL shares,215,100,21500,debit
5/16/2025,11:00:00 PM GMT+3,24,sell to close,AAPL shares,211.26,100,21126,credit
5/16/2025,11:00:00 PM GMT+3,25,expiration,AAPL $190 put exp. 5/16/2025,0,1,0,debit
5/16/2025,11:00:00 PM GMT+3,26,expiration,AAPL $180 put exp. 5/16/2025,0,1,0,debit
5/19/2025,10:45:00 PM GMT+3,56,sell to open,AAPL $200 put exp. 6/27/2025,395,1,395,credit
5/20/2025,10:45:00 PM GMT+3,57,sell to open,AAPL $195 put exp. 6/27/2025,332,1,332,credit
5/21/2025,10:45:00 PM GMT+3,58,sell to open,AAPL $190 put exp. 6/27/2025,362,1,362,credit
5/22/2025,10:45:00 PM GMT+3,59,sell to open,AAPL $190 put exp. 7/3/2025,417,1,417,credit
5/23/2025,10:45:00 PM GMT+3,60,sell to open,AAPL $185 put exp. 7/3/2025,450,1,450,credit
5/23/2025,11:00:00 PM GMT+3,27,expiration,AAPL $170 put exp. 5/23/2025,0,1,0,debit
5/23/2025,11:00:00 PM GMT+3,28,expiration,AAPL $160 put exp. 5/23/2025,0,1,0,debit
5/23/2025,11:00:00 PM GMT+3,29,expiration,AAPL $185 put exp. 5/23/2025,0,1,0,debit
5/23/2025,11:00:00 PM GMT+3,30,expiration,AAPL $180 put exp. 5/23/2025,0,1,0,debit
5/23/2025,11:00:00 PM GMT+3,31,expiration,AAPL $190 put exp. 5/23/2025,0,1,0,debit
5/27/2025,10:45:00 PM GMT+3,61,sell to open,AAPL $190 put exp. 7/18/2025,480,1,480,credit
5/28/2025,10:45:00 PM GMT+3,62,sell to open,AAPL $190 put exp. 7/18/2025,430,1,430,credit
5/29/2025,10:45:00 PM GMT+3,63,sell to open,AAPL $190 put exp. 7/11/2025,430,1,430,credit
5/30/2025,10:45:00 PM GMT+3,64,sell to open,AAPL $190 put exp. 7/11/2025,400,1,400,credit
5/30/2025,11:00:00 PM GMT+3,32,expiration,AAPL $195 put exp. 5/30/2025,0,1,0,debit
5/30/2025,11:00:00 PM GMT+3,33,expiration,AAPL $190 put exp. 5/30/2025,0,1,0,debit
5/30/2025,11:00:00 PM GMT+3,34,expiration,AAPL $185 put exp. 5/30/2025,0,1,0,debit
5/30/2025,11:00:00 PM GMT+3,35,expiration,AAPL $185 put exp. 5/30/2025,0,1,0,debit
5/30/2025,11:00:00 PM GMT+3,36,expiration,AAPL $180 put exp. 5/30/2025,0,1,0,debit
5/30/2025,11:00:00 PM GMT+3,37,expiration,AAPL $190 put exp. 5/30/2025,0,1,0,debit
5/30/2025,11:00:00 PM GMT+3,38,expiration,AAPL $195 put exp. 5/30/2025,0,1,0,debit
6/2/2025,10:45:00 PM GMT+3,65,sell to open,AAPL $190 put exp. 7/18/2025,377,1,377,credit
6/3/2025,10:45:00 PM GMT+3,66,sell to open,AAPL $195 put exp. 7/18/2025,440,1,440,credit
6/4/2025,10:45:00 PM GMT+3,67,sell to open,AAPL $195 put exp. 7/18/2025,427,1,427,credit
6/5/2025,10:45:00 PM GMT+3,68,sell to open,AAPL $190 put exp. 7/18/2025,360,1,360,credit
6/6/2025,10:45:00 PM GMT+3,69,sell to open,AAPL $195 put exp. 7/18/2025,360,1,360,credit
6/6/2025,11:00:00 PM GMT+3,39,expiration,AAPL $200 put exp. 6/6/2025,0,1,0,debit
6/6/2025,11:00:00 PM GMT+3,40,expiration,AAPL $200 put exp. 6/6/2025,0,1,0,debit
6/6/2025,11:00:00 PM GMT+3,41,expiration,AAPL $200 put exp. 6/6/2025,0,1,0,debit
6/9/2025,10:45:00 PM GMT+3,70,sell to open,AAPL $190 put exp. 7/25/2025,370,1,370,credit
6/10/2025,10:45:00 PM GMT+3,71,sell to open,AAPL $195 put exp. 7/25/2025,425,1,425,credit
6/11/2025,10:45:00 PM GMT+3,72,sell to open,AAPL $190 put exp. 7/25/2025,405,1,405,credit
6/12/2025,10:45:00 PM GMT+3,73,sell to open,AAPL $190 put exp. 7/25/2025,392,1,392,credit
6/13/2025,10:45:00 PM GMT+3,74,sell to open,AAPL $185 put exp. 7/25/2025,345,1,345,credit
6/13/2025,11:00:00 PM GMT+3,44,exercise,AAPL $205 put exp. 6/13/2025,0,1,0,debit
6/13/2025,11:00:00 PM GMT+3,44,assignment,AAPL shares,205,100,20500,debit
6/13/2025,11:00:00 PM GMT+3,44,sell to close,AAPL shares,196.45,100,19645,credit
6/13/2025,11:00:00 PM GMT+3,45,expiration,AAPL $195 put exp. 6/13/2025,0,1,0,debit
6/16/2025,10:45:00 PM GMT+3,75,sell to open,AAPL $190 put exp. 8/1/2025,472,1,472,credit
6/17/2025,10:45:00 PM GMT+3,76,sell to open,AAPL $185 put exp. 8/1/2025,420,1,420,credit
6/18/2025,10:45:00 PM GMT+3,77,sell to open,AAPL $185 put exp. 8/1/2025,375,1,375,credit
6/20/2025,10:45:00 PM GMT+3,78,sell to open,AAPL $190 put exp. 8/1/2025,400,1,400,credit
6/20/2025,11:00:00 PM GMT+3,42,expiration,AAPL $200 put exp. 6/20/2025,0,1,0,debit
6/20/2025,11:00:00 PM GMT+3,43,expiration,AAPL $200 put exp. 6/20/2025,0,1,0,debit
6/20/2025,11:00:00 PM GMT+3,46,expiration,AAPL $190 put exp. 6/20/2025,0,1,0,debit
6/20/2025,11:00:00 PM GMT+3,47,expiration,AAPL $190 put exp. 6/20/2025,0,1,0,debit
6/20/2025,11:00:00 PM GMT+3,48,expiration,AAPL $185 put exp. 6/20/2025,0,1,0,debit
6/20/2025,11:00:00 PM GMT+3,49,expiration,AAPL $190 put exp. 6/20/2025,0,1,0,debit
6/20/2025,11:00:00 PM GMT+3,50,expiration,AAPL $190 put exp. 6/20/2025,0,1,0,debit
6/23/2025,10:45:00 PM GMT+3,79,sell to open,AAPL $190 put exp. 8/1/2025,325,1,325,credit
6/24/2025,10:45:00 PM GMT+3,80,sell to open,AAPL $190 put exp. 8/15/2025,417,1,417,credit
6/25/2025,10:45:00 PM GMT+3,81,sell to open,AAPL $190 put exp. 8/15/2025,402,1,402,credit
6/26/2025,10:45:00 PM GMT+3,82,sell to open,AAPL $190 put exp. 8/8/2025,352,1,352,credit
6/27/2025,10:45:00 PM GMT+3,83,sell to open,AAPL $190 put exp. 8/8/2025,357,1,357,credit
6/27/2025,11:00:00 PM GMT+3,51,expiration,AAPL $200 put exp. 6/27/2025,0,1,0,debit
6/27/2025,11:00:00 PM GMT+3,52,expiration,AAPL $200 put exp. 6/27/2025,0,1,0,debit
6/27/2025,11:00:00 PM GMT+3,53,expiration,AAPL $200 put exp. 6/27/2025,0,1,0,debit
6/27/2025,11:00:00 PM GMT+3,54,expiration,AAPL $200 put exp. 6/27/2025,0,1,0,debit
6/27/2025,11:00:00 PM GMT+3,55,expiration,AAPL $200 put exp. 6/27/2025,0,1,0,debit
6/27/2025,11:00:00 PM GMT+3,56,expiration,AAPL $200 put exp. 6/27/2025,0,1,0,debit
6/27/2025,11:00:00 PM GMT+3,57,expiration,AAPL $195 put exp. 6/27/2025,0,1,0,debit
6/27/2025,11:00:00 PM GMT+3,58,expiration,AAPL $190 put exp. 6/27/2025,0,1,0,debit
6/30/2025,10:45:00 PM GMT+3,84,sell to open,AAPL $195 put exp. 8/15/2025,402,1,402,credit
7/1/2025,10:45:00 PM GMT+3,85,sell to open,AAPL $195 put exp. 8/15/2025,352,1,352,credit
7/2/2025,10:45:00 PM GMT+3,86,sell to open,AAPL $200 put exp. 8/15/2025,357,1,357,credit
7/3/2025,10:45:00 PM GMT+3,87,sell to open,AAPL $205 put exp. 8/15/2025,422,1,422,credit
7/3/2025,11:00:00 PM GMT+3,59,expiration,AAPL $190 put exp. 7/3/2025,0,1,0,debit
7/3/2025,11:00:00 PM GMT+3,60,expiration,AAPL $185 put exp. 7/3/2025,0,1,0,debit
7/7/2025,10:45:00 PM GMT+3,88,sell to open,AAPL $200 put exp. 8/22/2025,465,1,465,credit
7/8/2025,10:45:00 PM GMT+3,89,sell to open,AAPL $200 put exp. 8/22/2025,437,1,437,credit
7/9/2025,10:45:00 PM GMT+3,90,sell to open,AAPL $200 put exp. 8/22/2025,405,1,405,credit
7/10/2025,10:45:00 PM GMT+3,91,sell to open,AAPL $200 put exp. 8/22/2025,315,1,315,credit
7/11/2025,10:45:00 PM GMT+3,92,sell to open,AAPL $200 put exp. 8/22/2025,355,1,355,credit
7/11/2025,11:00:00 PM GMT+3,63,expiration,AAPL $190 put exp. 7/11/2025,0,1,0,debit
7/11/2025,11:00:00 PM GMT+3,64,expiration,AAPL $190 put exp. 7/11/2025,0,1,0,debit
7/14/2025,10:45:00 PM GMT+3,93,sell to open,AAPL $200 put exp. 8/29/2025,455,1,455,credit
7/15/2025,10:45:00 PM GMT+3,94,sell to open,AAPL $200 put exp. 8/29/2025,425,1,425,credit
7/16/2025,10:45:00 PM GMT+3,95,sell to open,AAPL $200 put exp. 8/29/2025,385,1,385,credit
7/17/2025,10:45:00 PM GMT+3,96,sell to open,AAPL $200 put exp. 8/29/2025,385,1,385,credit
7/18/2025,10:45:00 PM GMT+3,97,sell to open,AAPL $200 put exp. 8/29/2025,357,1,357,credit
7/18/2025,11:00:00 PM GMT+3,61,expiration,AAPL $190 put exp. 7/18/2025,0,1,0,debit
7/18/2025,11:00:00 PM GMT+3,62,expiration,AAPL $190 put exp. 7/18/2025,0,1,0,debit
7/18/2025,11:00:00 PM GMT+3,65,expiration,AAPL $190 put exp. 7/18/2025,0,1,0,debit
7/18/2025,11:00:00 PM GMT+3,66,expiration,AAPL $195 put exp. 7/18/2025,0,1,0,debit
7/18/2025,11:00:00 PM GMT+3,67,expiration,AAPL $195 put exp. 7/18/2025,0,1,0,debit
7/18/2025,11:00:00 PM GMT+3,68,expiration,AAPL $190 put exp. 7/18/2025,0,1,0,debit
7/18/2025,11:00:00 PM GMT+3,69,expiration,AAPL $195 put exp. 7/18/2025,0,1,0,debit
7/21/2025,10:45:00 PM GMT+3,98,sell to open,AAPL $200 put exp. 8/29/2025,307,1,307,credit
7/22/2025,10:45:00 PM GMT+3,99,sell to open,AAPL $205 put exp. 8/29/2025,400,1,400,credit
7/23/2025,10:45:00 PM GMT+3,100,sell to open,AAPL $205 put exp. 8/29/2025,400,1,400,credit
7/24/2025,10:45:00 PM GMT+3,101,sell to open,AAPL $205 put exp. 9/5/2025,387,1,387,credit
7/25/2025,10:45:00 PM GMT+3,102,sell to open,AAPL $205 put exp. 9/5/2025,402,1,402,credit
7/25/2025,11:00:00 PM GMT+3,70,expiration,AAPL $190 put exp. 7/25/2025,0,1,0,debit
7/25/2025,11:00:00 PM GMT+3,71,expiration,AAPL $195 put exp. 7/25/2025,0,1,0,debit
7/25/2025,11:00:00 PM GMT+3,72,expiration,AAPL $190 put exp. 7/25/2025,0,1,0,debit
7/25/2025,11:00:00 PM GMT+3,73,expiration,AAPL $190 put exp. 7/25/2025,0,1,0,debit
7/25/2025,11:00:00 PM GMT+3,74,expiration,AAPL $185 put exp. 7/25/2025,0,1,0,debit
7/28/2025,10:45:00 PM GMT+3,103,sell to open,AAPL $205 put exp. 9/5/2025,392,1,392,credit
7/29/2025,10:45:00 PM GMT+3,104,sell to open,AAPL $200 put exp. 9/19/2025,420,1,420,credit
7/30/2025,10:45:00 PM GMT+3,105,sell to open,AAPL $200 put exp. 9/19/2025,515,1,515,credit
7/31/2025,10:45:00 PM GMT+3,106,sell to open,AAPL $200 put exp. 9/12/2025,472,1,472,credit
8/1/2025,10:45:00 PM GMT+3,107,sell to open,AAPL $190 put exp. 9/12/2025,298,1,298,credit
8/1/2025,11:00:00 PM GMT+3,75,expiration,AAPL $190 put exp. 8/1/2025,0,1,0,debit
8/1/2025,11:00:00 PM GMT+3,76,expiration,AAPL $185 put exp. 8/1/2025,0,1,0,debit
8/1/2025,11:00:00 PM GMT+3,77,expiration,AAPL $185 put exp. 8/1/2025,0,1,0,debit
8/1/2025,11:00:00 PM GMT+3,78,expiration,AAPL $190 put exp. 8/1/2025,0,1,0,debit
8/1/2025,11:00:00 PM GMT+3,79,expiration,AAPL $190 put exp. 8/1/2025,0,1,0,debit
8/4/2025,10:45:00 PM GMT+3,108,sell to open,AAPL $190 put exp. 9/19/2025,317,1,317,credit
8/5/2025,10:45:00 PM GMT+3,109,sell to open,AAPL $195 put exp. 9/19/2025,425,1,425,credit
8/6/2025,10:45:00 PM GMT+3,110,sell to open,AAPL $205 put exp. 9/19/2025,402,1,402,credit
8/7/2025,10:45:00 PM GMT+3,111,sell to open,AAPL $210 put exp. 9/19/2025,360,1,360,credit
8/8/2025,10:45:00 PM GMT+3,112,sell to open,AAPL $220 put exp. 9/19/2025,390,1,390,credit
8/8/2025,11:00:00 PM GMT+3,82,expiration,AAPL $190 put exp. 8/8/2025,0,1,0,debit
8/8/2025,11:00:00 PM GMT+3,83,expiration,AAPL $190 put exp. 8/8/2025,0,1,0,debit
8/11/2025,10:45:00 PM GMT+3,113,sell to open,AAPL $215 put exp. 9/26/2025,327,1,327,credit
8/12/2025,10:45:00 PM GMT+3,114,sell to open,AAPL $220 put exp. 9/26/2025,382,1,382,credit
8/13/2025,10:45:00 PM GMT+3,115,sell to open,AAPL $220 put exp. 9/26/2025,269,1,269,credit
8/14/2025,10:45:00 PM GMT+3,116,sell to open,AAPL $220 put exp. 9/26/2025,277,1,277,credit
8/15/2025,10:45:00 PM GMT+3,117,sell to open,AAPL $220 put exp. 9/26/2025,291,1,291,credit
8/15/2025,11:00:00 PM GMT+3,80,expiration,AAPL $190 put exp. 8/15/2025,0,1,0,debit
8/15/2025,11:00:00 PM GMT+3,81,expiration,AAPL $190 put exp. 8/15/2025,0,1,0,debit
8/15/2025,11:00:00 PM GMT+3,84,expiration,AAPL $195 put exp. 8/15/2025,0,1,0,debit
8/15/2025,11:00:00 PM GMT+3,85,expiration,AAPL $195 put exp. 8/15/2025,0,1,0,debit
8/15/2025,11:00:00 PM GMT+3,86,expiration,AAPL $200 put exp. 8/15/2025,0,1,0,debit
8/15/2025,11:00:00 PM GMT+3,87,expiration,AAPL $205 put exp. 8/15/2025,0,1,0,debit
8/18/2025,10:45:00 PM GMT+3,118,sell to open,AAPL $220 put exp. 9/26/2025,286,1,286,credit
8/19/2025,10:45:00 PM GMT+3,119,sell to open,AAPL $220 put exp. 9/26/2025,305,1,305,credit
8/20/2025,10:45:00 PM GMT+3,120,sell to open,AAPL $215 put exp. 9/26/2025,268,1,268,credit
8/21/2025,10:45:00 PM GMT+3,121,sell to open,AAPL $215 put exp. 10/3/2025,365,1,365,credit
8/22/2025,10:45:00 PM GMT+3,122,sell to open,AAPL $215 put exp. 10/3/2025,255,1,255,credit
8/22/2025,11:00:00 PM GMT+3,88,expiration,AAPL $200 put exp. 8/22/2025,0,1,0,debit
8/22/2025,11:00:00 PM GMT+3,89,expiration,AAPL $200 put exp. 8/22/2025,0,1,0,debit
8/22/2025,11:00:00 PM GMT+3,90,expiration,AAPL $200 put exp. 8/22/2025,0,1,0,debit
8/22/2025,11:00:00 PM GMT+3,91,expiration,AAPL $200 put exp. 8/22/2025,0,1,0,debit
8/22/2025,11:00:00 PM GMT+3,92,expiration,AAPL $200 put exp. 8/22/2025,0,1,0,debit
8/25/2025,10:45:00 PM GMT+3,123,sell to open,AAPL $215 put exp. 10/3/2025,264,1,264,credit
8/26/2025,10:45:00 PM GMT+3,124,sell to open,AAPL $215 put exp. 10/17/2025,320,1,320,credit
8/27/2025,10:45:00 PM GMT+3,125,sell to open,AAPL $220 put exp. 10/17/2025,382,1,382,credit
8/28/2025,10:45:00 PM GMT+3,126,sell to open,AAPL $220 put exp. 10/10/2025,274,1,274,credit
8/29/2025,10:45:00 PM GMT+3,127,sell to open,AAPL $220 put exp. 10/10/2025,276,1,276,credit
8/29/2025,11:00:00 PM GMT+3,93,expiration,AAPL $200 put exp. 8/29/2025,0,1,0,debit
8/29/2025,11:00:00 PM GMT+3,94,expiration,AAPL $200 put exp. 8/29/2025,0,1,0,debit
8/29/2025,11:00:00 PM GMT+3,95,expiration,AAPL $200 put exp. 8/29/2025,0,1,0,debit
8/29/2025,11:00:00 PM GMT+3,96,expiration,AAPL $200 put exp. 8/29/2025,0,1,0,debit
8/29/2025,11:00:00 PM GMT+3,97,expiration,AAPL $200 put exp. 8/29/2025,0,1,0,debit
8/29/2025,11:00:00 PM GMT+3,98,expiration,AAPL $200 put exp. 8/29/2025,0,1,0,debit
8/29/2025,11:00:00 PM GMT+3,99,expiration,AAPL $205 put exp. 8/29/2025,0,1,0,debit
8/29/2025,11:00:00 PM GMT+3,100,expiration,AAPL $205 put exp. 8/29/2025,0,1,0,debit
